Program,Study year,Semester,Course,Student ID,Position in Rating,Average Grade,Minimal Grade,Percentile,GPA
Информатика и вычислительная техника,2020/2021,1,2,Студент 8862707,153 - 154,5,4,95%,5.00
Информатика и вычислительная техника,2020/2021,1,2,Студент 32449,153 - 154,5,4,95%,5.00
Информатика и вычислительная техника,2020/2021,1,2,Студент 1106728,155,4.83,3,96.25%,4.83
Информатика и вычислительная техника,2020/2021,1,2,Студент 3387955,156,4.86,1,96.88%,4.79
Информатика и вычислительная техника,2020/2021,1,2,Студент 8794987,157,4.5,3,97.5%,4.48
Информатика и вычислительная техника,2020/2021,1,2,Студент 5425107,158,4.43,2,98.13%,4.36
Информатика и вычислительная техника,2020/2021,1,2,Студент 7838697,159,3.86,1,98.75%,4.00
Информатика и вычислительная техника,2020/2021,1,2,Студент 9387669,160,2.14,0,99.38%,2.11
Информатика и вычислительная техника,2020/2021,1,3,Студент 8049011,1 - 2,10,10,0%,10.00
Информатика и вычислительная техника,2020/2021,1,3,Студент 82833,1 - 2,10,10,0%,10.00
Информатика и вычислительная техника,2020/2021,1,3,Студент 2200511,3,9.86,9,1.34%,9.91
Информатика и вычислительная техника,2020/2021,1,3,Студент 3959373,4,9.86,9,2.01%,9.87
Информатика и вычислительная техника,2020/2021,1,3,Студент 5080541,5,9.86,9,2.68%,9.83
Информатика и вычислительная техника,2020/2021,1,3,Студент 9671208,6 - 7,9.86,9,3.36%,9.78
Информатика и вычислительная техника,2020/2021,1,3,Студент 5355788,6 - 7,9.71,9,3.36%,9.78
Информатика и вычислительная техника,2020/2021,1,3,Студент 7402584,8 - 9,9.71,9,4.7%,9.74
Информатика и вычислительная техника,2020/2021,1,3,Студент 9022696,8 - 9,9.71,8,4.7%,9.74
Информатика и вычислительная техника,2020/2021,1,3,Студент 2025459,10 - 11,9.57,9,6.04%,9.70
Информатика и вычислительная техника,2020/2021,1,3,Студент 5301943,10 - 11,9.71,9,6.04%,9.70
Информатика и вычислительная техника,2020/2021,1,3,Студент 1698772,12 - 13,9.57,9,7.38%,9.61
Информатика и вычислительная техника,2020/2021,1,3,Студент 3335468,12 - 13,9.57,9,7.38%,9.61
Информатика и вычислительная техника,2020/2021,1,3,Студент 661308,14,9.57,9,8.72%,9.57
Информатика и вычислительная техника,2020/2021,1,3,Студент 8701638,15 - 17,9.57,9,9.4%,9.48
Информатика и вычислительная техника,2020/2021,1,3,Студент 8741628,15 - 17,9.57,9,9.4%,9.48
Информатика и вычислительная техника,2020/2021,1,3,Студент 4667997,15 - 17,9.57,9,9.4%,9.48
Информатика и вычислительная техника,2020/2021,1,3,Студент 4827105,18 - 20,9.43,8,11.41%,9.43
Информатика и вычислительная техника,2020/2021,1,3,Студент 4219204,18 - 20,9.57,8,11.41%,9.43
Информатика и вычислительная техника,2020/2021,1,3,Студент 2918351,18 - 20,9.57,8,11.41%,9.43
Информатика и вычислительная техника,2020/2021,1,3,Студент 8725744,21 - 26,9.57,8,13.42%,9.39
Информатика и вычислительная техника,2020/2021,1,3,Студент 3491265,21 - 26,9.29,8,13.42%,9.39
Информатика и вычислительная техника,2020/2021,1,3,Студент 8750808,21 - 26,9.43,9,13.42%,9.39
Информатика и вычислительная техника,2020/2021,1,3,Студент 4906617,21 - 26,9.43,9,13.42%,9.39
Информатика и вычислительная техника,2020/2021,1,3,Студент 6002865,21 - 26,9.43,9,13.42%,9.39
Информатика и вычислительная техника,2020/2021,1,3,Студент 6408498,21 - 26,9.43,9,13.42%,9.39
Информатика и вычислительная техника,2020/2021,1,3,Студент 3426234,27 - 29,9.43,8,17.45%,9.35
Информатика и вычислительная техника,2020/2021,1,3,Студент 6356128,27 - 29,9.29,8,17.45%,9.35
Информатика и вычислительная техника,2020/2021,1,3,Студент 5865588,27 - 29,9.57,7,17.45%,9.35
Информатика и вычислительная техника,2020/2021,1,3,Студент 2323824,30,9.29,9,19.46%,9.30
Информатика и вычислительная техника,2020/2021,1,3,Студент 7175805,31 - 32,9.43,8,20.13%,9.26
Информатика и вычислительная техника,2020/2021,1,3,Студент 5179567,31 - 32,9.29,8,20.13%,9.26
Информатика и вычислительная техника,2020/2021,1,3,Студент 4920593,33,9.14,7,21.48%,9.22
Информатика и вычислительная техника,2020/2021,1,3,Студент 975797,34,9.11,8,22.15%,9.19
Информатика и вычислительная техника,2020/2021,1,3,Студент 3003872,35 - 39,9.29,8,22.82%,9.13
Информатика и вычислительная техника,2020/2021,1,3,Студент 865078,35 - 39,9.14,8,22.82%,9.13
Информатика и вычислительная техника,2020/2021,1,3,Студент 9411774,35 - 39,9.14,9,22.82%,9.13
Информатика и вычислительная техника,2020/2021,1,3,Студент 8361919,35 - 39,9.14,8,22.82%,9.13
Информатика и вычислительная техника,2020/2021,1,3,Студент 7484989,35 - 39,9,8,22.82%,9.13
Информатика и вычислительная техника,2020/2021,1,3,Студент 3637275,40 - 42,9.14,8,26.17%,9.09
Информатика и вычислительная техника,2020/2021,1,3,Студент 8582724,40 - 42,9.29,8,26.17%,9.09
Информатика и вычислительная техника,2020/2021,1,3,Студент 6370299,40 - 42,9.14,8,26.17%,9.09
Информатика и вычислительная техника,2020/2021,1,3,Студент 931222,43 - 46,9,8,28.19%,9.04
Информатика и вычислительная техника,2020/2021,1,3,Студент 5583001,43 - 46,9.14,8,28.19%,9.04
Информатика и вычислительная техника,2020/2021,1,3,Студент 9128311,43 - 46,9,8,28.19%,9.04
Информатика и вычислительная техника,2020/2021,1,3,Студент 4924164,43 - 46,9.14,8,28.19%,9.04
Информатика и вычислительная техника,2020/2021,1,3,Студент 7520159,47 - 48,9,8,30.87%,9.00
Информатика и вычислительная техника,2020/2021,1,3,Студент 5083648,47 - 48,9,8,30.87%,9.00
Информатика и вычислительная техника,2020/2021,1,3,Студент 4530126,49,9,8,32.21%,8.91
Информатика и вычислительная техника,2020/2021,1,3,Студент 3482859,50 - 51,9,7,32.89%,8.87
Информатика и вычислительная техника,2020/2021,1,3,Студент 8070146,50 - 51,9,8,32.89%,8.87
Информатика и вычислительная техника,2020/2021,1,3,Студент 4919286,52,8.86,8,34.23%,8.83
Информатика и вычислительная техника,2020/2021,1,3,Студент 1345060,53,8.86,8,34.9%,8.78
Информатика и вычислительная техника,2020/2021,1,3,Студент 5887638,54 - 56,8.71,8,35.57%,8.65
Информатика и вычислительная техника,2020/2021,1,3,Студент 3776847,54 - 56,8.71,8,35.57%,8.65
Информатика и вычислительная техника,2020/2021,1,3,Студент 1569581,54 - 56,8.86,7,35.57%,8.65
Информатика и вычислительная техника,2020/2021,1,3,Студент 1463601,57,8.57,7,37.58%,8.61
Информатика и вычислительная техника,2020/2021,1,3,Студент 4962467,58 - 59,8.71,7,38.26%,8.48
Информатика и вычислительная техника,2020/2021,1,3,Студент 9883300,58 - 59,8.57,6,38.26%,8.48
Информатика и вычислительная техника,2020/2021,1,3,Студент 235484,60 - 63,8.57,7,39.6%,8.43
Информатика и вычислительная техника,2020/2021,1,3,Студент 9565144,60 - 63,8.43,7,39.6%,8.43
Информатика и вычислительная техника,2020/2021,1,3,Студент 6601541,60 - 63,8.71,6,39.6%,8.43
Информатика и вычислительная техника,2020/2021,1,3,Студент 1333923,60 - 63,8.71,6,39.6%,8.43
Информатика и вычислительная техника,2020/2021,1,3,Студент 7835395,64,8.63,5,42.28%,8.41
Информатика и вычислительная техника,2020/2021,1,3,Студент 6803112,65,8.29,7,42.95%,8.35
Информатика и вычислительная техника,2020/2021,1,3,Студент 9613812,66 - 68,8.29,7,43.62%,8.30
Информатика и вычислительная техника,2020/2021,1,3,Студент 8854122,66 - 68,8.43,7,43.62%,8.30
Информатика и вычислительная техника,2020/2021,1,3,Студент 2264961,66 - 68,8.43,7,43.62%,8.30
Информатика и вычислительная техника,2020/2021,1,3,Студент 6868412,69 - 71,8.14,6,45.64%,8.26
Информатика и вычислительная техника,2020/2021,1,3,Студент 5196514,69 - 71,8.43,7,45.64%,8.26
Информатика и вычислительная техника,2020/2021,1,3,Студент 4996723,69 - 71,8.43,6,45.64%,8.26
Информатика и вычислительная техника,2020/2021,1,3,Студент 4370760,72,8.14,7,47.65%,8.22
Информатика и вычислительная техника,2020/2021,1,3,Студент 1073658,73 - 74,8.29,7,48.32%,8.17
Информатика и вычислительная техника,2020/2021,1,3,Студент 1795310,73 - 74,8.29,7,48.32%,8.17
Информатика и вычислительная техника,2020/2021,1,3,Студент 1306935,75 - 76,8.14,7,49.66%,8.13
Информатика и вычислительная техника,2020/2021,1,3,Студент 8468217,75 - 76,8.29,7,49.66%,8.13
Информатика и вычислительная техника,2020/2021,1,3,Студент 3226244,77 - 78,8.29,7,51.01%,8.09
Информатика и вычислительная техника,2020/2021,1,3,Студент 2326515,77 - 78,8.29,7,51.01%,8.09
Информатика и вычислительная техника,2020/2021,1,3,Студент 7166596,79,8.13,7,52.35%,8.07
Информатика и вычислительная техника,2020/2021,1,3,Студент 8079737,80,8,7,53.02%,8.00
Информатика и вычислительная техника,2020/2021,1,3,Студент 9977054,81 - 83,8.43,4,53.69%,7.96
Информатика и вычислительная техника,2020/2021,1,3,Студент 7789785,81 - 83,8.14,6,53.69%,7.96
Информатика и вычислительная техника,2020/2021,1,3,Студент 1596372,81 - 83,8,6,53.69%,7.96
Информатика и вычислительная техника,2020/2021,1,3,Студент 1759692,84 - 85,8.14,7,55.7%,7.91
Информатика и вычислительная техника,2020/2021,1,3,Студент 8880743,84 - 85,8,7,55.7%,7.91
Информатика и вычислительная техника,2020/2021,1,3,Студент 9352797,86 - 90,8,7,57.05%,7.87
Информатика и вычислительная техника,2020/2021,1,3,Студент 4623880,86 - 90,8,7,57.05%,7.87
Информатика и вычислительная техника,2020/2021,1,3,Студент 2275628,86 - 90,8.14,6,57.05%,7.87
Информатика и вычислительная техника,2020/2021,1,3,Студент 8546665,86 - 90,8.14,6,57.05%,7.87
Информатика и вычислительная техника,2020/2021,1,3,Студент 6860241,86 - 90,8,6,57.05%,7.87
Информатика и вычислительная техника,2020/2021,1,3,Студент 8909743,91 - 92,8,6,60.4%,7.83
Информатика и вычислительная техника,2020/2021,1,3,Студент 9709909,91 - 92,8,7,60.4%,7.83
Информатика и вычислительная техника,2020/2021,1,3,Студент 2267951,93 - 96,7.86,7,61.74%,7.70
Информатика и вычислительная техника,2020/2021,1,3,Студент 2988108,93 - 96,7.86,6,61.74%,7.70
Информатика и вычислительная техника,2020/2021,1,3,Студент 2107479,93 - 96,8,6,61.74%,7.70
Информатика и вычислительная техника,2020/2021,1,3,Студент 3271734,93 - 96,7.86,6,61.74%,7.70
Информатика и вычислительная техника,2020/2021,1,3,Студент 1024917,97,7.86,5,64.43%,7.65
Информатика и вычислительная техника,2020/2021,1,3,Студент 3230689,98 - 99,7.86,6,65.1%,7.61
Информатика и вычислительная техника,2020/2021,1,3,Студент 9949344,98 - 99,7.71,7,65.1%,7.61
Информатика и вычислительная техника,2020/2021,1,3,Студент 4290126,100 - 102,7.43,5,66.44%,7.57
Информатика и вычислительная техника,2020/2021,1,3,Студент 1569888,100 - 102,7.43,6,66.44%,7.57
Информатика и вычислительная техника,2020/2021,1,3,Студент 7830761,100 - 102,7.71,6,66.44%,7.57
Информатика и вычислительная техника,2020/2021,1,3,Студент 1153440,103 - 104,7.57,6,68.46%,7.52
Информатика и вычислительная техника,2020/2021,1,3,Студент 1193097,103 - 104,7.71,6,68.46%,7.52
Информатика и вычислительная техника,2020/2021,1,3,Студент 7087794,105 - 106,7.86,6,69.8%,7.48
Информатика и вычислительная техника,2020/2021,1,3,Студент 4970269,105 - 106,7.57,6,69.8%,7.48
Информатика и вычислительная техника,2020/2021,1,3,Студент 8299077,107,7.71,5,71.14%,7.39
Информатика и вычислительная техника,2020/2021,1,3,Студент 1623339,108,7.71,6,71.81%,7.35
Информатика и вычислительная техника,2020/2021,1,3,Студент 5739191,109,7.56,6,72.48%,7.32
Информатика и вычислительная техника,2020/2021,1,3,Студент 8257892,110 - 111,7.29,6,73.15%,7.30
Информатика и вычислительная техника,2020/2021,1,3,Студент 7568914,110 - 111,7.43,7,73.15%,7.30
Информатика и вычислительная техника,2020/2021,1,3,Студент 2241250,112 - 113,7.43,6,74.5%,7.26
Информатика и вычислительная техника,2020/2021,1,3,Студент 7472661,112 - 113,7.57,5,74.5%,7.26
Информатика и вычислительная техника,2020/2021,1,3,Студент 6836758,114,7.57,4,75.84%,7.22
Информатика и вычислительная техника,2020/2021,1,3,Студент 280433,115,7.43,6,76.51%,7.17
Информатика и вычислительная техника,2020/2021,1,3,Студент 7558536,116,7.25,4,77.18%,7.11
Информатика и вычислительная техника,2020/2021,1,3,Студент 6830671,117,7.14,6,77.85%,7.09
Информатика и вычислительная техника,2020/2021,1,3,Студент 5740289,118 - 119,7,6,78.52%,7.04
Информатика и вычислительная техника,2020/2021,1,3,Студент 9379867,118 - 119,7.14,6,78.52%,7.04
Информатика и вычислительная техника,2020/2021,1,3,Студент 1348928,120,7.14,6,79.87%,7.00
Информатика и вычислительная техника,2020/2021,1,3,Студент 5070070,121,7,5,80.54%,6.96
Информатика и вычислительная техника,2020/2021,1,3,Студент 4837106,122,7.14,5,81.21%,6.87
Информатика и вычислительная техника,2020/2021,1,3,Студент 93197,123,7.25,4,81.88%,6.86
Информатика и вычислительная техника,2020/2021,1,3,Студент 2441860,124 - 125,7.14,5,82.55%,6.83
Информатика и вычислительная техника,2020/2021,1,3,Студент 304446,124 - 125,6.71,5,82.55%,6.83
Информатика и вычислительная техника,2020/2021,1,3,Студент 581163,126,7.29,7,83.89%,6.74
Информатика и вычислительная техника,2020/2021,1,3,Студент 3429962,127,7,5,84.56%,6.70
Информатика и вычислительная техника,2020/2021,1,3,Студент 637796,128 - 129,6.71,5,85.23%,6.65
Информатика и вычислительная техника,2020/2021,1,3,Студент 8459655,128 - 129,6.57,5,85.23%,6.65
Информатика и вычислительная техника,2020/2021,1,3,Студент 4398473,130,7.43,1,86.58%,6.57
Информатика и вычислительная техника,2020/2021,1,3,Студент 988677,131,6.86,4,87.25%,6.48
Информатика и вычислительная техника,2020/2021,1,3,Студент 1858236,132,6.43,5,87.92%,6.17
Информатика и вычислительная техника,2020/2021,1,3,Студент 8523576,133,6.43,4,88.59%,6.13
Информатика и вычислительная техника,2020/2021,1,3,Студент 6444190,134,6.43,4,89.26%,6.04
Информатика и вычислительная техника,2020/2021,1,3,Студент 3417592,135,6.38,5,89.93%,6.04
Информатика и вычислительная техника,2020/2021,1,3,Студент 2877865,136,5.86,5,90.6%,6.00
Информатика и вычислительная техника,2020/2021,1,3,Студент 5252646,137,6,4,91.28%,5.91
Информатика и вычислительная техника,2020/2021,1,3,Студент 3410559,138,6.57,0,91.95%,5.83
Информатика и вычислительная техника,2020/2021,1,3,Студент 8551991,139,5.75,5,92.62%,5.74
Информатика и вычислительная техника,2020/2021,1,3,Студент 3321401,140,5.86,4,93.29%,5.74
Информатика и вычислительная техника,2020/2021,1,3,Студент 9495298,141,5.5,3,93.96%,5.67
Информатика и вычислительная техника,2020/2021,1,3,Студент 656678,142,5.86,0,94.63%,5.43
Информатика и вычислительная техника,2020/2021,1,3,Студент 8741467,143,5.14,1,95.3%,5.23
Информатика и вычислительная техника,2020/2021,1,3,Студент 2634788,144,5.13,4,95.97%,5.19
Информатика и вычислительная техника,2020/2021,1,3,Студент 472774,145,4.88,4,96.64%,5.11
Информатика и вычислительная техника,2020/2021,1,3,Студент 932280,146,4.57,2,97.32%,4.83
Информатика и вычислительная техника,2020/2021,1,3,Студент 4048538,147,4.86,3,97.99%,4.70
Информатика и вычислительная техника,2020/2021,1,3,Студент 7282497,148,4.71,5,98.66%,4.52
Информатика и вычислительная техника,2020/2021,1,3,Студент 3448784,149,3.71,1,99.33%,3.83
Информатика и вычислительная техника,2020/2021,1,4,Студент 4981004,1 - 6,10,10,0%,10.00
Информатика и вычислительная техника,2020/2021,1,4,Студент 7322024,1 - 6,10,10,0%,10.00
Информатика и вычислительная техника,2020/2021,1,4,Студент 3406970,1 - 6,10,10,0%,10.00
Информатика и вычислительная техника,2020/2021,1,4,Студент 9972739,1 - 6,10,10,0%,10.00
Информатика и вычислительная техника,2020/2021,1,4,Студент 4956939,1 - 6,10,10,0%,10.00
Информатика и вычислительная техника,2020/2021,1,4,Студент 2830778,1 - 6,10,10,0%,10.00
Информатика и вычислительная техника,2020/2021,1,4,Студент 526799,7 - 11,9.75,9,4.44%,9.81
Информатика и вычислительная техника,2020/2021,1,4,Студент 2030569,7 - 11,9.75,9,4.44%,9.81
Информатика и вычислительная техника,2020/2021,1,4,Студент 3791068,7 - 11,9.75,9,4.44%,9.81
Информатика и вычислительная техника,2020/2021,1,4,Студент 5697132,7 - 11,9.75,9,4.44%,9.81
Информатика и вычислительная техника,2020/2021,1,4,Студент 4739971,7 - 11,9.75,9,4.44%,9.81
Информатика и вычислительная техника,2020/2021,1,4,Студент 9766622,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 6769834,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 7285302,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 6783678,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 564280,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 3725142,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 233205,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 5938018,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 4062596,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 9602557,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 7612628,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 2449322,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 6519526,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 9048266,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 7429485,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 9018746,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 8819190,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 7500725,12 - 29,9.75,9,8.15%,9.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 1670906,30 - 32,9.75,9,21.48%,9.63
Информатика и вычислительная техника,2020/2021,1,4,Студент 7151343,30 - 32,9.5,8,21.48%,9.63
Информатика и вычислительная техника,2020/2021,1,4,Студент 9897359,30 - 32,9.5,8,21.48%,9.63
Информатика и вычислительная техника,2020/2021,1,4,Студент 7617951,33 - 46,9.5,9,23.7%,9.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 9162402,33 - 46,9.5,9,23.7%,9.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 9021560,33 - 46,9.5,9,23.7%,9.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 1626810,33 - 46,9.5,9,23.7%,9.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 135122,33 - 46,9.5,9,23.7%,9.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 9638768,33 - 46,9.5,9,23.7%,9.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 258544,33 - 46,9.5,9,23.7%,9.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 7993102,33 - 46,9.5,9,23.7%,9.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 1634265,33 - 46,9.5,9,23.7%,9.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 2976398,33 - 46,9.5,9,23.7%,9.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 9846228,33 - 46,9.5,9,23.7%,9.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 728174,33 - 46,9.5,9,23.7%,9.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 7264643,33 - 46,9.5,9,23.7%,9.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 956298,33 - 46,9.5,9,23.7%,9.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 3760419,47 - 56,9.5,8,34.07%,9.50
Информатика и вычислительная техника,2020/2021,1,4,Студент 4101132,47 - 56,9.5,8,34.07%,9.50
Информатика и вычислительная техника,2020/2021,1,4,Студент 4038342,47 - 56,9.5,8,34.07%,9.50
Информатика и вычислительная техника,2020/2021,1,4,Студент 4100161,47 - 56,9.5,8,34.07%,9.50
Информатика и вычислительная техника,2020/2021,1,4,Студент 2065403,47 - 56,9.5,8,34.07%,9.50
Информатика и вычислительная техника,2020/2021,1,4,Студент 2310757,47 - 56,9.5,8,34.07%,9.50
Информатика и вычислительная техника,2020/2021,1,4,Студент 8256896,47 - 56,9.5,8,34.07%,9.50
Информатика и вычислительная техника,2020/2021,1,4,Студент 7775507,47 - 56,9.5,8,34.07%,9.50
Информатика и вычислительная техника,2020/2021,1,4,Студент 6248500,47 - 56,9.5,8,34.07%,9.50
Информатика и вычислительная техника,2020/2021,1,4,Студент 2567659,47 - 56,9.5,8,34.07%,9.50
Информатика и вычислительная техника,2020/2021,1,4,Студент 165521,57,9.5,9,41.48%,9.44
Информатика и вычислительная техника,2020/2021,1,4,Студент 1916830,58,9.6,8,42.22%,9.43
Информатика и вычислительная техника,2020/2021,1,4,Студент 9736349,59 - 67,9.25,8,42.96%,9.38
Информатика и вычислительная техника,2020/2021,1,4,Студент 1150721,59 - 67,9.25,8,42.96%,9.38
Информатика и вычислительная техника,2020/2021,1,4,Студент 5932638,59 - 67,9.25,8,42.96%,9.38
Информатика и вычислительная техника,2020/2021,1,4,Студент 708024,59 - 67,9.5,9,42.96%,9.38
Информатика и вычислительная техника,2020/2021,1,4,Студент 3745900,59 - 67,9.5,9,42.96%,9.38
Информатика и вычислительная техника,2020/2021,1,4,Студент 593058,59 - 67,9.5,9,42.96%,9.38
Информатика и вычислительная техника,2020/2021,1,4,Студент 1514781,59 - 67,9.5,9,42.96%,9.38
Информатика и вычислительная техника,2020/2021,1,4,Студент 6163201,59 - 67,9.25,8,42.96%,9.38
Информатика и вычислительная техника,2020/2021,1,4,Студент 2846441,59 - 67,9.25,8,42.96%,9.38
Информатика и вычислительная техника,2020/2021,1,4,Студент 5102654,68 - 73,9.25,8,49.63%,9.31
Информатика и вычислительная техника,2020/2021,1,4,Студент 7491756,68 - 73,9.25,8,49.63%,9.31
Информатика и вычислительная техника,2020/2021,1,4,Студент 7651763,68 - 73,9.25,8,49.63%,9.31
Информатика и вычислительная техника,2020/2021,1,4,Студент 7191202,68 - 73,9.25,8,49.63%,9.31
Информатика и вычислительная техника,2020/2021,1,4,Студент 3590243,68 - 73,9.25,8,49.63%,9.31
Информатика и вычислительная техника,2020/2021,1,4,Студент 7061452,68 - 73,9.25,8,49.63%,9.31
Информатика и вычислительная техника,2020/2021,1,4,Студент 5550211,74 - 76,9.25,7,54.07%,9.25
Информатика и вычислительная техника,2020/2021,1,4,Студент 7442702,74 - 76,9.25,7,54.07%,9.25
Информатика и вычислительная техника,2020/2021,1,4,Студент 995619,74 - 76,9.25,7,54.07%,9.25
Информатика и вычислительная техника,2020/2021,1,4,Студент 8015179,77 - 81,9.25,9,56.3%,9.19
Информатика и вычислительная техника,2020/2021,1,4,Студент 2106493,77 - 81,9,7,56.3%,9.19
Информатика и вычислительная техника,2020/2021,1,4,Студент 4115942,77 - 81,9,7,56.3%,9.19
Информатика и вычислительная техника,2020/2021,1,4,Студент 731942,77 - 81,9.25,9,56.3%,9.19
Информатика и вычислительная техника,2020/2021,1,4,Студент 1307972,77 - 81,9.25,9,56.3%,9.19
Информатика и вычислительная техника,2020/2021,1,4,Студент 9255048,82,9,8,60%,9.13
Информатика и вычислительная техника,2020/2021,1,4,Студент 2414677,83,9,7,60.74%,9.06
Информатика и вычислительная техника,2020/2021,1,4,Студент 6877186,84 - 86,9.25,8,61.48%,9.00
Информатика и вычислительная техника,2020/2021,1,4,Студент 7176563,84 - 86,9.25,8,61.48%,9.00
Информатика и вычислительная техника,2020/2021,1,4,Студент 798470,84 - 86,9,8,61.48%,9.00
Информатика и вычислительная техника,2020/2021,1,4,Студент 6159978,87 - 88,9,8,63.7%,8.94
Информатика и вычислительная техника,2020/2021,1,4,Студент 8267166,87 - 88,8.75,7,63.7%,8.94
Информатика и вычислительная техника,2020/2021,1,4,Студент 2308837,89 - 90,8.75,7,65.19%,8.88
Информатика и вычислительная техника,2020/2021,1,4,Студент 4263457,89 - 90,8.75,7,65.19%,8.88
Информатика и вычислительная техника,2020/2021,1,4,Студент 3621378,91 - 96,9,8,66.67%,8.81
Информатика и вычислительная техника,2020/2021,1,4,Студент 3999815,91 - 96,9,8,66.67%,8.81
Информатика и вычислительная техника,2020/2021,1,4,Студент 3889033,91 - 96,9,8,66.67%,8.81
Информатика и вычислительная техника,2020/2021,1,4,Студент 8918176,91 - 96,8.75,6,66.67%,8.81
Информатика и вычислительная техника,2020/2021,1,4,Студент 529028,91 - 96,8.75,6,66.67%,8.81
Информатика и вычислительная техника,2020/2021,1,4,Студент 9025830,91 - 96,9,8,66.67%,8.81
Информатика и вычислительная техника,2020/2021,1,4,Студент 9798217,97,8.5,6,71.11%,8.75
Информатика и вычислительная техника,2020/2021,1,4,Студент 471144,98 - 99,8.75,8,71.85%,8.63
Информатика и вычислительная техника,2020/2021,1,4,Студент 8504174,98 - 99,8.75,8,71.85%,8.63
Информатика и вычислительная техника,2020/2021,1,4,Студент 9202781,100 - 101,8.75,8,73.33%,8.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 1758811,100 - 101,8.25,5,73.33%,8.56
Информатика и вычислительная техника,2020/2021,1,4,Студент 3997231,102,8.25,6,74.81%,8.44
Информатика и вычислительная техника,2020/2021,1,4,Студент 2461607,103,8,4,75.56%,8.38
Информатика и вычислительная техника,2020/2021,1,4,Студент 7517816,104 - 106,8.5,6,76.3%,8.25
Информатика и вычислительная техника,2020/2021,1,4,Студент 7813895,104 - 106,8.5,6,76.3%,8.25
Информатика и вычислительная техника,2020/2021,1,4,Студент 5760409,104 - 106,8.75,6,76.3%,8.25
Информатика и вычислительная техника,2020/2021,1,4,Студент 442284,107,8,5,78.52%,8.19
Информатика и вычислительная техника,2020/2021,1,4,Студент 1564199,108,7.5,10,79.26%,8.13
Информатика и вычислительная техника,2020/2021,1,4,Студент 3383291,109,8.5,6,80%,8.00
Информатика и вычислительная техника,2020/2021,1,4,Студент 1443060,110,8.25,7,80.74%,7.94
Информатика и вычислительная техника,2020/2021,1,4,Студент 9335340,111,7.25,9,81.48%,7.88
Информатика и вычислительная техника,2020/2021,1,4,Студент 4459173,112 - 114,7.75,6,82.22%,7.69
Информатика и вычислительная техника,2020/2021,1,4,Студент 6855811,112 - 114,8,6,82.22%,7.69
Информатика и вычислительная техника,2020/2021,1,4,Студент 5187646,112 - 114,8,6,82.22%,7.69
Информатика и вычислительная техника,2020/2021,1,4,Студент 7925760,115,8,6,84.44%,7.63
Информатика и вычислительная техника,2020/2021,1,4,Студент 9629168,116,7.8,6,85.19%,7.61
Информатика и вычислительная техника,2020/2021,1,4,Студент 3090189,117,7.75,4,85.93%,7.38
Информатика и вычислительная техника,2020/2021,1,4,Студент 6238664,118,7.5,6,86.67%,7.13
Информатика и вычислительная техника,2020/2021,1,4,Студент 4815522,119,7.25,5,87.41%,7.06
